COARSE,SAND,SILT,CLAY,TEXTURE_USDA,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,SHARE,HWSD2_SMU_ID
11,40,41,19,9.0,M,1.47,1.6900001,2.0370002,5.3000002,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,100,31816
11,40,41,19,9.0,M,1.47,1.6900001,2.0370002,5.3000002,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,30,31801
11,40,41,19,9.0,M,1.47,1.6900001,2.0370002,5.3000002,1.54,14,11,26,6,5,47,21,1,0.0,0.1,0,70,31802
7,89,5,6,12.0,C,1.39,1.34,0.24200001,6.9000001,0.22,11,4,47,5,4,89,0,2,4.4000001,0.1,0,10,1694
9,88,6,6,12.0,C,1.62,1.34,0.255,8.0,0.25999999,10,5,52,12,12,100,0,2,5.8000002,0.1,0,30,32050
9,88,6,6,12.0,C,1.62,1.34,0.255,8.0,0.25999999,10,5,52,12,12,100,0,2,5.8000002,0.1,0,100,32034
9,88,6,6,12.0,C,1.62,1.34,0.255,8.0,0.25999999,10,5,52,12,12,100,0,2,5.8000002,0.1,0,40,32016
9,88,6,6,12.0,C,1.62,1.34,0.255,8.0,0.25999999,10,5,52,12,12,100,0,2,5.8000002,0.1,0,20,32049
9,88,6,6,12.0,C,1.62,1.34,0.255,8.0,0.25999999,10,5,52,12,12,100,0,2,5.8000002,0.1,0,30,31996
9,88,6,6,12.0,C,1.62,1.34,0.255,8.0,0.25999999,10,5,52,12,12,100,0,2,5.8000002,0.1,0,40,31962
9,88,6,6,12.0,C,1.62,1.34,0.255,8.0,0.25999999,10,5,52,12,12,100,0,2,5.8000002,0.1,0,100,31978
9,88,6,6,12.0,C,1.62,1.34,0.255,8.0,0.25999999,10,5,52,12,12,100,0,2,5.8000002,0.1,0,40,32032
9,88,6,6,12.0,C,1.62,1.34,0.255,8.0,0.25999999,10,5,52,12,12,100,0,2,5.8000002,0.1,0,100,32019
6,90,5,5,12.0,C,1.48,1.28,0.259,6.6999998,0.31999999,9,4,61,4,4,89,0,3,0.0,0.1,0,30,32011
6,90,5,5,12.0,C,1.48,1.28,0.259,6.6999998,0.31999999,9,4,61,4,4,89,0,3,0.0,0.1,0,70,32037
6,90,5,5,12.0,C,1.48,1.28,0.259,6.6999998,0.31999999,9,4,61,4,4,89,0,3,0.0,0.1,0,35,31904
6,90,5,5,12.0,C,1.48,1.28,0.259,6.6999998,0.31999999,9,4,61,4,4,89,0,3,0.0,0.1,0,70,31996
6,90,5,5,12.0,C,1.48,1.28,0.259,6.6999998,0.31999999,9,4,61,4,4,89,0,3,0.0,0.1,0,60,31962
6,90,5,5,12.0,C,1.48,1.28,0.259,6.6999998,0.31999999,9,4,61,4,4,89,0,3,0.0,0.1,0,100,31999
6,90,5,5,12.0,C,1.48,1.28,0.259,6.6999998,0.31999999,9,4,61,4,4,89,0,3,0.0,0.1,0,40,32008
6,90,5,5,12.0,C,1.48,1.28,0.259,6.6999998,0.31999999,9,4,61,4,4,89,0,3,0.0,0.1,0,40,31940
9,87,9,4,12.0,C,1.4400001,1.2,0.62800002,5.6999998,0.51999998,13,4,33,3,3,76,6,2,0.0,0.1,0,30,31828
9,87,9,4,12.0,C,1.4400001,1.2,0.62800002,5.6999998,0.51999998,13,4,33,3,3,76,6,2,0.0,0.1,0,60,31890
9,87,9,4,12.0,C,1.4400001,1.2,0.62800002,5.6999998,0.51999998,13,4,33,3,3,76,6,2,0.0,0.1,0,60,31831
9,87,9,4,12.0,C,1.4400001,1.2,0.62800002,5.6999998,0.51999998,13,4,33,3,3,76,6,2,0.0,0.1,0,40,31805
9,87,9,4,12.0,C,1.4400001,1.2,0.62800002,5.6999998,0.51999998,13,4,33,3,3,76,6,2,0.0,0.1,0,40,31829
9,87,9,4,12.0,C,1.4400001,1.2,0.62800002,5.6999998,0.51999998,13,4,33,3,3,76,6,2,0.0,0.1,0,100,31804
11,44,35,21,9.0,M,1.39,1.73,1.14,8.1999998,1.24,10,10,38,8,6,72,0,2,15.9,0.2,1,15,31998
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,50,31867
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,70,1964
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,60,1846
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,60,1834
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,60,1838
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,30,1839
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,70,1840
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,70,1844
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,30,1849
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,30,1851
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,60,1843
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,70,329
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,70,1833
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,100,1832
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,50,1316
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,50,1315
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,10,1823
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,20,1830
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,30,1770
12,49,33,18,9.0,M,1.45,1.6799999,0.69699997,8.1999998,0.80000001,9,14,67,38,38,100,0,2,13.9,0.2,1,70,1775
11,36,33,31,5.0,M,1.4400001,1.86,0.83199996,8.1999998,0.93000001,9,22,59,42,42,99,0,2,18.6,0.30000001,1,70,1963
11,36,33,31,5.0,M,1.4400001,1.86,0.83199996,8.1999998,0.93000001,9,22,59,42,42,99,0,2,18.6,0.30000001,1,60,320
